iter	Passed	Remaining
0	453	452580
1	454	226971
2	457	151899
3	458	114269
4	460	91666
5	462	76599
6	464	65839
7	465	57766
8	467	51439
9	468	46337
10	468	42154
11	469	38667
12	471	35760
13	472	33265
14	473	31083
15	474	29164
16	475	27470
17	475	25961
18	476	24611
19	477	23395
20	478	22295
21	479	21295
22	479	20385
23	480	19560
24	481	18792
25	482	18079
26	483	17420
27	484	16808
28	485	16242
29	486	15716
30	487	15225
31	487	14758
32	488	14320
33	489	13906
34	490	13517
35	491	13150
36	491	12802
37	492	12473
38	493	12159
39	494	11872
40	495	11594
41	496	11327
42	497	11070
43	498	10824
44	499	10590
45	500	10380
46	502	10179
47	502	9975
48	503	9780
49	504	9594
50	506	9419
51	507	9245
52	508	9084
53	509	8923
54	510	8766
55	511	8614
56	511	8467
57	512	8326
58	513	8189
59	515	8074
60	516	7952
61	517	7831
62	518	7711
63	519	7595
64	520	7482
65	521	7373
66	521	7267
67	522	7163
68	523	7062
69	524	6964
70	524	6868
71	525	6775
72	526	6685
73	527	6597
74	527	6511
75	528	6429
76	529	6352
77	531	6279
78	532	6203
79	532	6128
80	533	6055
81	534	5983
82	535	5913
83	535	5844
84	536	5778
85	537	5713
86	538	5649
87	539	5587
88	539	5526
89	540	5466
90	541	5408
91	542	5351
92	542	5295
93	543	5241
94	544	5188
95	545	5137
96	546	5087
97	547	5037
98	548	4987
99	548	4939
100	549	4891
101	550	4845
102	551	4799
103	551	4754
104	552	4710
105	553	4667
106	554	4624
107	554	4583
108	555	4542
109	556	4502
110	557	4462
111	557	4424
112	558	4387
113	560	4353
114	561	4318
115	562	4283
116	562	4247
117	563	4213
118	564	4179
119	565	4145
120	566	4111
121	566	4079
122	567	4046
123	568	4015
124	569	3983
125	569	3952
126	570	3922
127	571	3892
128	572	3863
129	572	3834
130	574	3811
131	575	3786
132	576	3759
133	577	3734
134	578	3708
135	579	3681
136	580	3655
137	581	3630
138	581	3604
139	582	3579
140	583	3554
141	584	3529
142	584	3505
143	585	3481
144	586	3458
145	587	3435
146	588	3412
147	588	3390
148	607	3469
149	608	3447
150	609	3425
151	609	3402
152	610	3380
153	611	3359
154	612	3339
155	613	3318
156	614	3297
157	614	3277
158	615	3256
159	616	3236
160	617	3216
161	617	3196
162	618	3177
163	619	3158
164	620	3141
165	621	3123
166	622	3105
167	623	3086
168	624	3068
169	624	3050
170	625	3032
171	626	3015
172	627	2997
173	627	2980
174	628	2963
175	629	2946
176	630	2929
177	630	2913
178	631	2897
179	632	2880
180	633	2864
181	633	2849
182	635	2835
183	636	2821
184	637	2806
185	637	2791
186	638	2776
187	639	2761
188	640	2746
189	640	2732
190	641	2717
191	642	2703
192	643	2688
193	643	2674
194	644	2660
195	645	2647
196	646	2633
197	646	2619
198	647	2606
199	648	2592
200	649	2580
201	649	2567
202	650	2555
203	651	2542
204	652	2529
205	653	2517
206	653	2504
207	654	2492
208	655	2479
209	655	2467
210	656	2455
211	657	2443
212	658	2431
213	658	2420
214	659	2408
215	660	2396
216	661	2385
217	661	2374
218	662	2363
219	663	2352
220	664	2341
221	665	2330
222	666	2321
223	667	2311
224	667	2300
225	668	2290
226	669	2279
227	670	2269
228	670	2258
229	671	2248
230	672	2238
231	673	2228
232	673	2218
233	674	2208
234	675	2198
235	676	2188
236	676	2179
237	677	2169
238	678	2160
239	679	2152
240	680	2144
241	681	2135
242	682	2125
243	683	2116
244	683	2107
245	684	2098
246	685	2089
247	686	2080
248	686	2071
249	687	2062
250	688	2053
251	689	2045
252	689	2037
253	691	2029
254	692	2022
255	692	2013
256	694	2007
257	695	2000
258	696	1992
259	697	1984
260	698	1976
261	698	1968
262	699	1960
263	700	1952
264	700	1944
265	701	1936
266	702	1928
267	703	1920
268	703	1912
269	704	1905
270	705	1897
271	706	1889
272	706	1882
273	707	1874
274	708	1867
275	709	1861
276	710	1854
277	711	1848
278	712	1841
279	713	1833
280	713	1826
281	714	1819
282	715	1812
283	716	1805
284	716	1798
285	717	1791
286	718	1784
287	719	1777
288	719	1770
289	720	1764
290	721	1757
291	722	1750
292	722	1744
293	723	1737
294	724	1731
295	725	1725
296	726	1719
297	727	1712
298	727	1706
299	728	1699
300	729	1693
301	730	1687
302	730	1681
303	731	1674
304	732	1668
305	732	1662
306	733	1656
307	734	1650
308	735	1644
309	735	1637
310	736	1631
